ID,公司名称,职位名称,学历要求,工作经验,薪资,福利,工作内容,所属行业,上市情况,公司规模
4527607,重庆市零壹通路信息技术有限责任公司,以太坊 相关开发,不限,1-3年,20k-40k,"弹性高,成长快","GO,Golang,区块链","移动互联网,金融",天使轮,少于15人
5332239,重庆龙易购电子商务有限公司,爬虫工程师（可兼职）,大专,1-3年,8k-12k,晋升空间 五险 双休,"后端,Python,解决方案","移动互联网,电子商务",未融资,50-150人
5162460,重庆邂智科技有限公司,实习后端工程师,本科,应届毕业生,2k-3k,"午餐补助,误餐补贴,生日福利,团队聚餐","Golang,Python",移动互联网,A轮,15-50人
5260710,苏州市益支点公益发展服务中心,大数据工程师,本科,不限,12k-23k,六险一金、培训、周末双休、免费体检,Hadoop,其他,未融资,15-50人
4967035,马上消费金融股份有限公司,IT-MySQL DBA(运维开发方向)-CQ,本科,3-5年,12k-24k,"持牌机构,五险一金,餐费补助",,"金融,移动互联网",不需要融资,2000人以上
4989141,重庆替比网络科技有限公司,测试工程师,大专,1-3年,4k-8k,"五险一金,周末双休,各种补助,扁平管理","自动化,Web测试,Android测试,IOS测试",教育,未融资,15-50人
5142849,重庆格泰尚恒网络科技有限公司,爬虫工程师,大专,1-3年,10k-16k,"待遇好,住宿",数据库开发,移动互联网,不需要融资,15-50人
3615931,重庆智慧思特大数据有限公司,数据挖掘工程师,本科,3-5年,8k-16k,弹性工作制；带薪年假；五险一金；工作餐,,数据服务,不需要融资,50-150人
4932390,重庆易宠科技有限公司,测试工程师,本科,3-5年,5k-10k,"双休,五险一金,年终奖,出国旅游","功能测试,app测试",电子商务,B轮,500-2000人
5242359,重庆花儿投资管理有限公司,爬虫工程师,本科,3-5年,15k-20k,"周末双休,年底双薪,年终分红,优质团队","数据挖掘,数据架构,Java,SQLServer",企业服务,未融资,150-500人
5075056,民信链（重庆）区块链科技有限公司,高级数据挖掘分析工程师&nbsp;,本科,3-5年,15k-25k,"双休,各种福利,扁平化,技术大牛",数据分析,"信息安全,数据服务",天使轮,15-50人
4651711,重庆回形针信息技术有限公司,Java 高级工程师,本科,3-5年,10k-15k,"办公环境,弹性工作,团队和谐","J2EE,Hadoop","移动互联网,电子商务",未融资,15-50人
5046734,重庆玖舆博泓科技有限公司,数据分析师,本科,3-5年,10k-15k,"周末双休,五险一金,节日福利,体育活动","SQL,数据库,商业","数据服务,其他",未融资,50-150人
5296980,重庆甜瓜科技有限公司,爬虫工程师,本科,1-3年,5k-10k,五险一金 弹性工作 节日福利,"数据挖掘,数据分析","移动互联网,O2O",天使轮,少于15人
4686003,重庆商社电子商务有限公司,大数据分析,大专,3-5年,8k-16k,"五险一金,上市国企,周末双休,节日福利",数据挖掘,电子商务,未融资,50-150人
5201331,马上消费金融股份有限公司,IT-业务运维工程师（呼叫中心方向）,本科,3-5年,10k-20k,"持牌机构,五险一金,餐费补助",Linux,"金融,移动互联网",不需要融资,2000人以上
4983153,马上消费金融股份有限公司,反欺诈策略分析师,硕士,1-3年,8k-16k,"发展空间大,带薪年假,弹性工作",风控,"金融,移动互联网",不需要融资,2000人以上
4101147,重庆易宠科技有限公司,机器学习工程师（AI）,本科,不限,20k-40k,"周末双休,五险一金,平台广,前景好",数据挖掘,电子商务,B轮,500-2000人
5216104,马上消费金融股份有限公司,算法工程师（2019校招-重庆）,硕士,应届毕业生,10k-15k,"持牌机构,五险一金,餐费补助,节日福利",人工智能,"金融,移动互联网",不需要融资,2000人以上
4492343,重庆回形针信息技术有限公司,测试工程师,大专,1-3年,3k-6k,团队和谐,"脚本,自动化","移动互联网,电子商务",未融资,15-50人
4715958,特斯联（北京）科技有限公司,软件工程师-Web前端,本科,5-10年,10k-20k,大平台,,"移动互联网,硬件",B轮,150-500人
5332533,中冶赛迪重庆信息技术有限公司,自然语言处理算法工程师,硕士,1-3年,10k-20k,世界500强央企 大平台,,移动互联网,不需要融资,150-500人
3120121,重庆誉存大数据科技有限公司,网络爬虫工程师,本科,1-3年,6k-12k,"网络爬虫,数据采集,大数据","数据挖掘,数据分析",金融,A轮,50-150人
5345410,中冶赛迪重庆信息技术有限公司,运维工程师,本科,不限,5k-7k,世界500强央企 大平台,,移动互联网,不需要融资,150-500人
4253455,中冶赛迪重庆信息技术有限公司,中高级爬虫工程师,本科,3-5年,12k-24k,"五险一金,带薪休假","MySQL,Redis",移动互联网,不需要融资,150-500人
