ID,公司名称,职位名称,学历要求,工作经验,薪资,福利,工作内容,所属行业,上市情况,公司规模,岗位职责和任职要求
3841995,铁皮（重庆）网络科技有限公司,全栈开发工程师,本科,3-5年,8K-12K,我们期待做一个汽车类的星巴克空间,"软件开发,SAAS",生活服务,未融资,少于15人,"职位诱惑：平台大,机会多,福利好,团队氛围佳职位描述：岗位职责：负责公司各种技术难点攻克以及各种折腾，只有你想不到，没有你做不到岗位要求：1. 技术热情，超强的学习能力、自我驱动2. geek精神，full stack很自然，喜欢折腾3. 熟练运用一门编程语言，并能快速的切换实现语言（go、c++、java、php、python、scala）4. 有产品sense，对产品、设计有自己的理解5. 充满好奇心，有专研精神，对新鲜事物有浓厚的兴趣【我们能给你的】1.基本月薪+绩效奖金+公司年终奖+项目组年终分红+生日节日福利+年底12天带薪年假2.弹性上下班、不打卡3.创业or合伙人意向欢迎 【我们的特别之处】1.不Care你的学历 不介意你的经历，有胆你就放马过来(｡˘•ε•˘｡)2.年满18周岁，充满对工作的热情且积极主动，come on 小伙伴们，一起为新互联网时代而奋斗吧！"
2211812,重庆允升科技有限公司,JavaScript,本科,3-5年,10k-18k,平台大 福利好 大牛多 技术氛围好,HTML,"电子商务,企业服务",A轮,50-150人,1、负责web端、移动端JS开发；2、负责常用JS组件封装；3、对接服务端API，展示产品相关数据；4、参与项目需求分析，能给出良好解决方案；5、持续优化，以提高前端的用户体验。1、本科及以上学历，具有3年以上JS开发经验；2、精通HTML5、CSS3、JavaScript等Web前端开发技术；3、精通Ajax、DOM、XML、JSON等相关技术，能使用原生JS编程，精通面向对象4、熟悉移动端主流浏览器的适配，对Android与iOS等不同平台的html5页面适配充分了解；5、有前端架构经验，能够在规范、框架、资源管理、研发流程等方面做技术决策；6、至少熟悉一门非Web前端脚本的语言（如Java、PHP、Python）；7、有较强的自学能力和钻研精神，有良好的抗压能力，适应创业公司的快速节奏。
5302311,深算科技（重庆）有限公司,AI-算法工程师,大专,不限,5k-8k,AI、算法工程师,人工智能,"数据服务,硬件",未融资,15-50人,岗位职责：1.、负责系统运行问题定位、判断、分析工作。2.、形成电子和纸质文档。3.、配合团队其他成员和模块，完成模块功能。任职要求：1、精通python常用数学库，熟悉linux系统。2、具有python大数据开发经验优先。3、 熟悉tensorflow、caffe等机器学习框架，了解机器学习。4、具有敏锐的分析、判断能力，优秀的表达沟通能力。5、无学历、性别排除身体健康状态以外其他要求是。
5293369,深圳天宏迅联科技发展有限公司,运维工程师,本科,5-10年,8k-16k,"氛围轻松,福利多多,弹性工作,高额期权","系统运维,网络安全,监控","移动互联网,电子商务",A轮,50-150人,岗位职责：1、负责公司运维部门运维体系的建立和实施；2、负责完善运维服务流程和标准，建立系统化运维流程与相关文件；3、负责公司云服务器及网络的设计、优化，保障业务正常运行；4、负责完善运维监控体系、数据库维护体系；5、保障公司项目运维安全，处理运维事故，降低系统风险；6、对项目运维质量把控，减少运维突发故障以及降低对业务造成的影响；7、推动运维工作价值输出，提升运维质量。8、具有优秀的自主学习能力，自我管理能力，具有高度责任心。任职资格：1、计算机网络或计算机相关专业，全日制本科以上学历；2、有3——5年以上运维经验；3、精通Linux操作系统以及云服务器维护、网络的安全监控 、系统性能管理和调试、网络性能管理；4、熟悉Shell、或Python语言；5、熟悉Mysql、Mongodb、Redis等常用数据库，并对高可用性设计有一定研究与认识；6、熟悉运维自动化，常用CI/CD工具jenkins运用。7、熟悉Puppet，Ansible等自动化配置部署。有DevOps文化，并在此方面有实战经验优先；8、有应用系统的体系架构以及设计和实施系统的安全、分布架构、集成经验；9、良好的管理能力、沟通能力、团队精神和服务意识，能很好地组织并实施技术相关工作；10、具备面对压力，较好的解决问题能力；11、有OpenStack实施和运维经验优先；
5344178,重庆大邻盟科技有限公司,后端开发,大专,不限,9k-15k,涨薪快，福利好，团建频繁,"GO,Golang",O2O,天使轮,15-50人,"岗位职责： 1-负责平台研发工作（PC、API）； 2-平台高可用、高性能服务架构设计与调优； 技能要求: 1-丰富的web系统设计开发经验，熟悉常用设计模式； 2-熟悉GOlang,至少熟悉一种web框架：gin、beego、echo、 3-至少熟悉一种其它服务端脚本语言，如Python、PHP、Nodejs等； 4-优秀的数据库设计优化能力，Mysql和MongoDB至少精通其中一种，熟悉redis优先； 熟悉linux常用bash命令； 5-较强的逻辑思维能力，较强的产品意识，良好的沟通协调能力，良好的团队合作精神； 6-具备良好的团队合作精神，高度的责任感，善于沟通，为人踏实，抗压能力强，拥有严谨的工作态度；"
4715977,特斯联（北京）科技有限公司,软件工程师-系统平台,本科,5-10年,10k-20k,大平台,"系统集成,Java","移动互联网,硬件",B轮,150-500人,
5321688,重庆巨鹿网络科技有限公司,Devops开发工程师,本科,3-5年,8k-12k,团队合作双休如有加班另有加班工资,"Java,系统架构","移动互联网,电子商务",不需要融资,15-50人,"岗位职责： 1、开发、测试和生产环境的搭建、配置、监控和排错；2、CICD工具链和流程的搭建和维护；3、负责DevOps平台开发；4.以优化和维护自动化流程为主要使命； 5.负责公司的DevOps平台建设，以及全链路持续集成、持续交付策略的定义与实现； 6.负责测试开发环境标准化、容器化改造； 7.负责持续集成、持续交付、持续部署技术体系的研究与平台化实现； 8.负责分层测试开发，含Web层、接口层、数据层、性能等； 9.负责参与产品的可测试性评估，参与产品测试技术文档积累。任职要求： 1、有一定的后端开发经验； 2、熟悉Linux的常用命令和系统管理及网络配置；3、精通至少一类后端编程语言（JAVA）； 4、熟悉各类Mysql，Redis，Kafka，Mongo等常用开源软件的使用和运维。5、优秀的沟通协作能力、分析解决问题能力和学习能力； 6、有微服务或分布式的软件架构设计、开发和运维经验，能快速定位和调试问题； 7、 熟悉 docker、kubernetes 及相关云原生系统的优先；8、熟悉shiro,zabbix,redis,mangodb,gitlab,jenkins,openstack,,saltstack,spark,haddoop,maven,gradle,npm9、熟悉shell编程,python编程"
4882867,深圳市天彦通信股份有限公司,数据ETL研发工程师,本科,3-5年,10k-15k,数据ETL,"SQLServer,Spark",数据服务,不需要融资,150-500人,"岗位职责：1、负责大数据平台数据仓库、ETL模块建模及设计开发； 2、负责需求搜集、数据分析并参与设计数据制作； 3、负责调度及数据质量的检测和监控，形成数据反馈优化。任职要求：1、本科以上学历，3-5年数据仓库ETL设计及开发经验，精通数据仓库逻辑架构、元数据管理、数据质量监控等数据仓库主要环节，有BI经验者优先； 2、精通SQL, Hive SQL，SparkSQL优先; 熟悉Java或Python编程,有相关语言大数据开发经验者优先； 3、能够熟练应用一种或多种主流数据库（如：Teradata、Greenplum、SQL Server、Oracle、MySQL等）； 4、至少掌握一种主流ETL以及调度工具，例如Oozie、Azkaban、AirFlow、Sqoop、Flume、Logstash等，有相关功能扩展开发者优先； 5、掌握主流大数据数据处理框架优先，如Spark, Flink, Storm； 6、有较强的性能优化及问题排查、解决能力；对开源技术非常感兴趣并具有一定的研究能力。员工享有：1、五天7.5小时工作制，按国家规定休假制度；2、社会保险及公积金，多倍月薪年终奖金；3、生日、结婚、生育、端午、中秋节日现金福利；4、年度旅游、全体省外、一周时间；5、优秀员工可享受股权激励；6、良好的团队氛围，全面的人性关怀，充分的信任与授权；7、公司团队快速扩大中，健全的培养体系，广阔的个人发展空间。工作地址重庆市鸳鸯地铁站旁融科金开中心2-1栋26全层                                                                                                                       "
5096510,北京奇艺世纪科技有限公司,运维开发工程师,本科,3-5年,10k-15k,"六险一金,带薪年假,开发,与大咖共事",Linux,"广告营销,文化娱乐",上市公司,2000人以上,岗位职责：1、参与内部装机系统开发；2、参与内部网络自动化系统开发；3、参与内部流量分析系统开发；4、以上系统主要用到 golang、vue、css、html、bootstrap等技术。岗位要求：1、了解开源项目，使用过Git/Github；2、使用过Python，golang；3、熟悉CSS、HTML、JS，了解相关前端框架（VUE、React）；4. 熟悉linux系统和ANSIBLE自动化部署，熟悉容器技术更佳5、学习能力强，自我驱动。
5259042,重庆盘古美天物联网科技有限公司,运维工程师-美天停车,本科,5-10年,8k-16k,"五险,双休,年终奖,免费午餐","Linux,IT支持,Web安全","移动互联网,金融",不需要融资,2000人以上,"岗位职责：1. 负责测试、生产环境系统的运维、监控、故障解决、性能和优化，保障生产环境的稳定。2. 优化与提升生产环境的系统性能。3. 运维自动化平台建设。4. 规划和实施微服务应用向Docker的迁移。5. 积累和规范化运维文档。6. 负责7*24小时响应处理各类系统问题的报障。任职要求：1. 有AWS、阿里云、腾讯云的使用经验。2. 精通并理解Linux操作系统、体系结构; 3. 精通LVS/Haproxy、Nginx、JVM、Tomcat、Varnish/Squid、Bind、Mysql、Redis等应用群集的配置和优化；4. 熟练掌握掌握Shell、Python、Ruby等脚本中的一种或几种，可以使用脚本完成自动化工作；5. 精通ganglia/zabbix监控管理工具，有二次开发经验优先；6. 熟悉主流的版本控制工具，例如：Svn/Git，可以根据项目需求规划制定版本控制的使用规范；7. 熟悉基于Docker/K8S在阿里云平台上的计算和服务化；8. 熟悉常用的CI/CD持续集成/持续部署工具，例如：Jenkins；9. 熟悉ElasticSearch,、Logstash、 Kibana、rsyslog、Filebeat；10. 熟悉基于Spring Cloud或者Dubbo的微服务架构；11. 熟悉或有过基于Django服务框架的开发者优先考虑；12. 具备大规模、高可用集群的运维规划设计与实现经验；13. 责任心强，积极主动，有良好的沟通能力和团队合作能力。"
